Date;Pays;Infections;Deces;Guerisons;TauxDeces;TauxGuerison;TauxInfection
2020-03-18;Finlande;336;0;10;0.00;2.98;97.02
2020-03-18;Égypte;196;6;32;3.06;16.33;80.61
2020-03-18;Espagne;13910;623;1081;4.48;7.77;87.75
2020-03-18;Équateur;111;2;0;1.80;0.00;98.20
2020-03-18;Estonie;258;0;1;0.00;0.39;99.61
2020-03-18;République Dominicaine;21;1;0;4.76;0.00;95.24
2020-03-18;Algérie;74;7;12;9.46;16.22;74.32
2020-03-18;Allemagne;12327;28;105;0.23;0.85;98.92
2020-03-18;Djibouti;1;0;0;0.00;0.00;100.00
2020-03-18;Danemark;1057;4;1;0.38;0.09;99.53
2020-03-18;République Tchèque;464;0;3;0.00;0.65;99.35
2020-03-18;Chypre;49;0;0;0.00;0.00;100.00
2020-03-18;Cuba;7;1;0;14.29;0.00;85.71
2020-03-18;Costa Rica;50;0;0;0.00;0.00;100.00
2020-03-18;Colombie;93;0;1;0.00;1.08;98.92
2020-03-18;Chine;80906;3237;69653;4.00;86.09;9.91
2020-03-18;Cameroun;10;0;0;0.00;0.00;100.00
2020-03-18;Chili;238;0;0;0.00;0.00;100.00
2020-03-18;Côte d'Ivoire;6;0;1;0.00;16.67;83.33
2020-03-18;République Centrafricaine;1;0;0;0.00;0.00;100.00
2020-03-18;Suisse;3028;28;15;0.92;0.50;98.58
2020-03-18;Congo (Brazzaville);1;0;0;0.00;0.00;100.00
2020-03-18;Rép. Dém. du Congo;4;0;0;0.00;0.00;100.00
2020-03-18;Canada;657;8;9;1.22;1.37;97.41
2020-03-18;Bélarus;51;0;5;0.00;9.80;90.20
2020-03-18;Bhoutan;1;0;0;0.00;0.00;100.00
2020-03-18;Brésil;372;3;2;0.81;0.54;98.66
2020-03-18;Bahamas;1;0;0;0.00;0.00;100.00
2020-03-18;Bolivie;12;0;0;0.00;0.00;100.00
2020-03-18;Brunéi Darussalam;68;0;0;0.00;0.00;100.00
2020-03-18;Saint Barthélemy;3;0;0;0.00;0.00;100.00
2020-03-18;Bénin;2;0;0;0.00;0.00;100.00
2020-03-18;Bahreïn;256;1;88;0.39;34.38;65.23
2020-03-18;Bulgarie;92;2;0;2.17;0.00;97.83
2020-03-18;Belgique;1486;14;31;0.94;2.09;96.97
2020-03-18;Burkina Faso;20;1;0;5.00;0.00;95.00
2020-03-18;Bangladesh;14;1;3;7.14;21.43;71.43
2020-03-18;Barbade;2;0;0;0.00;0.00;100.00
2020-03-18;Bosnie-Herzégovine;38;0;2;0.00;5.26;94.74
2020-03-18;Azerbaïdjan;28;1;6;3.57;21.43;75.00
2020-03-18;Australie;568;6;23;1.06;4.05;94.89
2020-03-18;Aruba;4;0;0;0.00;0.00;100.00
2020-03-18;Autriche;1646;4;9;0.24;0.55;99.21
2020-03-18;Argentine;79;2;3;2.53;3.80;93.67
2020-03-18;Arménie;84;0;1;0.00;1.19;98.81
2020-03-18;Afghanistan;22;0;1;0.00;4.55;95.45
2020-03-18;Albanie;59;2;0;3.39;0.00;96.61
2020-03-18;Antigua-et-Barbuda;1;0;0;0.00;0.00;100.00
2020-03-18;Émirats Arabes Unis;113;0;26;0.00;23.01;76.99
2020-03-18;Andorre;39;0;1;0.00;2.56;97.44
2020-03-17;Andorre;39;0;1;0.00;2.56;97.44
2020-03-17;Émirats Arabes Unis;98;0;23;0.00;23.47;76.53
2020-03-17;Antigua-et-Barbuda;1;0;0;0.00;0.00;100.00
2020-03-17;Afghanistan;22;0;1;0.00;4.55;95.45
2020-03-17;Albanie;55;1;0;1.82;0.00;98.18
2020-03-17;Arménie;78;0;1;0.00;1.28;98.72
2020-03-17;Argentine;68;2;3;2.94;4.41;92.65
2020-03-17;Autriche;1332;3;1;0.23;0.08;99.70
2020-03-17;Aruba;3;0;0;0.00;0.00;100.00
2020-03-17;Australie;452;5;23;1.11;5.09;93.81
2020-03-17;Azerbaïdjan;28;1;6;3.57;21.43;75.00
2020-03-17;Bosnie-Herzégovine;26;0;2;0.00;7.69;92.31
2020-03-17;Barbade;2;0;0;0.00;0.00;100.00
2020-03-17;Bangladesh;10;0;3;0.00;30.00;70.00
2020-03-17;Belgique;1243;10;1;0.80;0.08;99.12
2020-03-17;Bulgarie;67;2;0;2.99;0.00;97.01
2020-03-17;Burkina Faso;15;0;0;0.00;0.00;100.00
2020-03-17;Bahreïn;228;1;81;0.44;35.53;64.04
2020-03-17;Bénin;1;0;0;0.00;0.00;100.00
2020-03-17;Saint Barthélemy;3;0;0;0.00;0.00;100.00
2020-03-17;Brunéi Darussalam;56;0;0;0.00;0.00;100.00
2020-03-17;Bolivie;11;0;0;0.00;0.00;100.00
2020-03-17;Bahamas;1;0;0;0.00;0.00;100.00
2020-03-17;Brésil;321;1;2;0.31;0.62;99.07
2020-03-17;Bhoutan;1;0;0;0.00;0.00;100.00
2020-03-17;Bélarus;36;0;3;0.00;8.33;91.67
2020-03-17;Canada;478;5;9;1.05;1.88;97.07
2020-03-17;Rép. Dém. du Congo;3;0;0;0.00;0.00;100.00
2020-03-17;République Centrafricaine;1;0;0;0.00;0.00;100.00
2020-03-17;Congo (Brazzaville);1;0;0;0.00;0.00;100.00
2020-03-17;Suisse;2700;27;4;1.00;0.15;98.85
2020-03-17;Chili;201;0;0;0.00;0.00;100.00
2020-03-17;Côte d'Ivoire;5;0;1;0.00;20.00;80.00
2020-03-17;Cameroun;10;0;0;0.00;0.00;100.00
2020-03-17;Chine;80884;3226;68700;3.99;84.94;11.08
2020-03-17;Colombie;65;0;1;0.00;1.54;98.46
2020-03-17;Costa Rica;41;0;0;0.00;0.00;100.00
2020-03-17;Cuba;5;0;0;0.00;0.00;100.00
2020-03-17;Chypre;46;0;0;0.00;0.00;100.00
2020-03-17;République Tchèque;396;0;3;0.00;0.76;99.24
2020-03-17;Danemark;977;4;1;0.41;0.10;99.49
2020-03-17;Allemagne;9257;24;67;0.26;0.72;99.02
2020-03-17;République Dominicaine;21;1;0;4.76;0.00;95.24
2020-03-17;Algérie;60;4;12;6.67;20.00;73.33
2020-03-17;Équateur;58;2;0;3.45;0.00;96.55
2020-03-17;Estonie;225;0;1;0.00;0.44;99.56
2020-03-17;Égypte;196;4;32;2.04;16.33;81.63
2020-03-17;Espagne;11748;533;1028;4.54;8.75;86.71
2020-03-17;Éthiopie;5;0;0;0.00;0.00;100.00
2020-03-17;Finlande;321;0;10;0.00;3.12;96.88
2020-03-17;Îles Féroé;47;0;0;0.00;0.00;100.00
2020-03-17;Gabon;1;0;0;0.00;0.00;100.00
2020-03-17;Royaume-Uni;1957;56;52;2.86;2.66;94.48
2020-03-17;France;7730;175;12;1.93;0.16;97.92
2020-03-17;Guyane Française;11;0;0;0.00;0.00;100.00
2020-03-17;Géorgie;34;0;1;0.00;2.94;97.06
2020-03-17;Guernsey;0;0;0;0.00;0.00;0.00
2020-03-17;Ghana;7;0;0;0.00;0.00;100.00
2020-03-17;Groenland;1;0;0;0.00;0.00;100.00
2020-03-17;Gibraltar;3;0;1;0.00;33.33;66.67
2020-03-17;Grèce;387;5;8;1.29;2.07;96.64
2020-03-17;Guinée Équatoriale;1;0;0;0.00;0.00;100.00
2020-03-17;Guinée;1;0;0;0.00;0.00;100.00
2020-03-17;Guadeloupe;18;0;0;0.00;0.00;100.00
2020-03-17;Guatemala;6;1;0;16.67;0.00;83.33
2020-03-17;Guam;3;0;0;0.00;0.00;100.00
2020-03-17;Guyana;7;1;0;14.29;0.00;85.71
2020-03-17;Hong-Kong;162;4;88;2.47;54.32;43.21
2020-03-17;Honduras;8;0;0;0.00;0.00;100.00
2020-03-17;Croatie;65;0;4;0.00;6.15;93.85
2020-03-17;Indonésie;172;5;8;2.91;4.65;92.44
2020-03-17;Hongrie;50;1;2;2.00;4.00;94.00
2020-03-17;Irlande;223;2;5;0.90;2.24;96.86
2020-03-17;Israël;337;0;11;0.00;3.26;96.74
2020-03-17;Iran;16169;988;5389;6.11;33.33;60.56
2020-03-17;Inde;142;3;14;2.11;9.86;88.03
2020-03-17;Iraq;154;11;32;7.14;20.78;72.08
2020-03-17;Islande;220;1;0;0.45;0.00;99.55
2020-03-17;Italie;31506;2503;2941;7.94;9.33;82.72
2020-03-17;Jersey;0;0;0;0.00;0.00;0.00
2020-03-17;Jamaïque;12;0;2;0.00;16.67;83.33
2020-03-17;Jordanie;34;0;1;0.00;2.94;97.06
2020-03-17;Cambodge;33;0;1;0.00;3.03;96.97
2020-03-17;Japon;878;29;144;3.30;16.40;80.30
2020-03-17;Kenya;3;0;0;0.00;0.00;100.00
2020-03-17;Koweït;130;0;9;0.00;6.92;93.08
2020-03-17;Kazakhstan;33;0;0;0.00;0.00;100.00
2020-03-17;Sainte-Lucie;2;0;0;0.00;0.00;100.00
2020-03-17;Liechtenstein;7;0;0;0.00;0.00;100.00
2020-03-17;Liban;120;3;3;2.50;2.50;95.00
2020-03-17;Corée du Sud;8320;81;1407;0.97;16.91;82.12
2020-03-17;Sri Lanka;44;0;1;0.00;2.27;97.73
2020-03-17;Libéria;1;0;0;0.00;0.00;100.00
2020-03-17;Lituanie;25;0;1;0.00;4.00;96.00
